PRODUTOS,UNID,BAHAMAS,BRETAS,PAIS E FILHOS,MART MINAS,FORTALEZA,CARREFOUR,VILLEFORT,REI DO ARROZ,PreçosMAIOR E MENOR VARIAÇÃO (%),,
1 - ALIMENTOS,,,,,,,,,,PREÇO,MÉDIA MÍNIMO,MÁXIMO
Sabonete - LUX SUAVE,90g,,"1,45","1,29","1,45","1,49","1,79","1,12","1,99","77,7%","1,51 1,12","1,99"
Sabonete - PALMOLIVE,90g,,"1,75","1,25","1,10","1,49","1,39","1,09","1,79","64,2%","1,41 1,09","1,79"
Sabonete - mais barato,90g,,"0,69","0,89","0,79","0,69","1,09","0,89","1,19","72,5%","0,89 0,69","1,19"
5 - MATERIAL DE LIMPEZA,UNID,BAHAMAS,BRETAS,PAIS E FILHOS,MART MINAS,FORTALEZA,CARREFOUR,VILLEFORT,REI DO ARROZ,,,
"Água sanitária - mais barato",1 ltr,,"2,29","1,99","1,69","1,99","2,09","1,59","4,49","182,4%","2,30 1,59","4,49"
"Álcool - mais barato",1ltr,,"5,99","3,99","4,38","4,99","6,24","3,59","7,49","108,6%","5,24 3,59","7,49"
Amaciante de roupa - CONFORT,2 litros,,,"10,98","8,98","9,99","7,90","8,40","11,90","50,6%","9,69 7,90","11,90"
Amaciante de roupa - mais barato,2 litros,,"4,85","4,99","3,98","3,99","5,99","3,49","5,99","71,6%","4,75 3,49","5,99"
Cera líquida - POLIFLOR,750ml,,"10,59",,,"9,90","5,79",,"14,90","157,3%","10,30 5,79","14,90"
Cera líquida - mais barata,750ml,,"10,59","5,99","2,99","9,90","5,79","2,95","4,99","259,0%","6,17 2,95","10,59"
Multi - Uso - VEJA,500ml,,"4,15","2,99","3,19","3,99","3,39","2,89","4,99","72,7%","3,66 2,89","4,99"
Multi - Uso - mais barato,500ml,,"1,99","2,29","1,98","1,99","2,69","1,79","2,69","50,3%","2,20 1,79","2,69"
Desinfetante pinho - mais barato,500ml,,"4,61","1,99","2,79","1,99","3,79","2,79","5,99","201,0%","3,42 1,99","5,99"
Detergente líquido - YPÊ,500ml,,"1,59","1,59","1,55","1,99","1,49","1,45","1,69","37,2%","1,62 1,45","1,99"
Detergente líquido -LIMPOL,500ml,,"1,89","1,49","1,45","1,99","1,69","1,49",,"37,2%","1,67 1,45","1,99"
Esponja de aço - mais barato,60g,,"1,16","0,99","0,98","0,89","5,29","1,05","2,39","494,4%","1,82 0,89","5,29"
Sabão de coco  - mais barato,1kg,,,"9,98","10,89","6,99","8,29","6,80","9,79","60,1%","8,79 6,80","10,89"
Sabão em barra - YPÊ,1kg,,"6,25","5,98","4,78","4,99","8,89","5,30","7,49","86,0%","6,24 4,78","8,89"
Sabão em barra - mais barato,1kg,,"3,49","4,99","4,78","3,99","8,39","3,99","7,29","140,4%","5,27 3,49","8,39"
Sabão em pó - OMO MULTIAÇÃO,1kg,,"12,19","8,98","8,98","8,99","10,39","7,82","12,98","66,0%","10,05 7,82","12,98"
Sabão em pó - mais barato,1kg,,"6,90","4,49","3,98","3,99","4,49","5,98","7,99","100,8%","5,40 3,98","7,99"
